album title,song title,song id,year
"The Bootleg Series Vol. 5: Bob Dylan Live 1975, The Rolling Thunder Revue",Tangled Up in Blue,118799,2002
N/A,Tangled Up in Blue,118799,N/A
Blood on the Tracks,Tangled Up in Blue,118799,1975
Biograph,Tangled Up in Blue,118799,1985
The Essential Bob Dylan,Tangled Up in Blue,118799,2000
"The Bootleg Series Vol. 14: More Blood, More Tracks",Tangled Up in Blue (9/16/74 Take 1),4124381,2018
"The Bootleg Series Vol. 14: More Blood, More Tracks","Tangled Up in Blue (9/17/74 Take 2, Remake)",4124383,2018
N/A,"Tangled Up in Blue (9/19/74, Take 3, Remake 3)",3991893,N/A
"The Bootleg Series Vol. 14: More Blood, More Tracks","Tangled Up in Blue (9/19/74, Take 3, Remake 3)",3991893,2018
N/A,Tangled Up in Blue (Alternate take),2393254,N/A
The Bootleg Series Volumes 1-3 (Rare & Unreleased) 1961-1991,Tangled Up in Blue (Alternate take),2393254,1991
The Bootleg Series Vol. 10: Another Self Portrait (1969-1971),Tattle O'Day,2124274,2013
N/A,Tattle O'Day,2124274,N/A
N/A,Tell Me,201064,N/A
The Bootleg Series Volumes 1-3 (Rare & Unreleased) 1961-1991,Tell Me,201064,1991
"The Bootleg Series Vol. 15: Travelin' Thru, 1967-1969",Tell Me That It Isn't True,199322,2019
N/A,Tell Me That It Isn't True,199322,N/A
Nashville Skyline,Tell Me That It Isn't True,199322,1969
N/A,"Tell Me, Momma",201281,N/A
"The Bootleg Series Vol. 4: Bob Dylan Live 1966, The ""Royal Albert Hall"" Concert","Tell Me, Momma",201281,1998
The Bootleg Series Vol. 8: Tell Tale Signs: Rare and Unreleased 1989-2006,"Tell Ol' Bill (Alternate Version, North Country Soundtrack)",1953034,2008
N/A,"Tell Ol' Bill (Alternate Version, North Country Soundtrack)",1953034,N/A
N/A,Tempest,83604,N/A
Tempest,Tempest,83604,2012
Blonde on Blonde,Temporary Like Achilles,105772,1966
N/A,Temporary Like Achilles,105772,N/A
Shadows in the Night,That Lucky Old Sun,691992,2015
N/A,That Lucky Old Sun,691992,N/A
Fallen Angels,That Old Black Magic,2486645,2016
N/A,That Old Black Magic,2486645,N/A
Triplicate,That Old Feeling,3019252,2017
N/A,That Old Feeling,3019252,N/A
"The Bootleg Series Vol. 15: Travelin' Thru, 1967-1969","That's All Right, Mama",5672445,2019
N/A,"That's All Right, Mama",5672445,N/A
N/A,That's Alright Mama,1141570,N/A
N/A,The 1913 massacre,2075469,N/A
N/A,The Ballad of Frankie Lee and Judas Priest,117556,N/A
John Wesley Harding,The Ballad of Frankie Lee and Judas Priest,117556,1967
Dylan (1973),The Ballad of Ira Hayes,199641,1973
N/A,The Ballad of Ira Hayes,199641,N/A
N/A,The Beaten Path (Introduction),2898893,N/A
N/A,The Best Is Yet to Come,3030342,N/A
Triplicate,The Best Is Yet to Come,3030342,2017
Self Portrait,The Boxer,199456,1970
N/A,The Boxer,199456,N/A
Christmas in the Heart,The Christmas Blues,201702,2009
N/A,The Christmas Blues,201702,N/A
N/A,The Christmas Song,201722,N/A
Christmas in the Heart,The Christmas Song,201722,2009
N/A,The Cuckoo (Is A Pretty Bird) [Gaslight 1962],4848861,N/A
Live at the Gaslight 1962,The Cuckoo (Is A Pretty Bird) [Gaslight 1962],4848861,2005
N/A,The Death Of Mett Till,2229632,N/A
N/A,The Death of Emmett Till,147790,N/A
"The Bootleg Series, Vol. 9: The Witmark Demos: 1962-1964",The Death of Emmett Till,147790,2010
Christmas in the Heart,The First Noel,201720,2009
N/A,The First Noel,201720,N/A
N/A,The Girl on the Greenbriar Shore (live),1574969,N/A
The Bootleg Series Vol. 8: Tell Tale Signs: Rare and Unreleased 1989-2006,The Girl on the Greenbriar Shore (live),1574969,2008
Biograph,The Groom's Still Waiting at the Altar,199939,1985
Shot of Love,The Groom's Still Waiting at the Altar,199939,1981
N/A,The Groom's Still Waiting at the Altar,199939,N/A
N/A,The Hills of Mexico,1398270,N/A
Modern Times,The Levee's Gonna Break,201661,2006
N/A,The Levee's Gonna Break,201661,N/A
"The Bootleg Series Vol. 5: Bob Dylan Live 1975, The Rolling Thunder Revue",The Lonesome Death of Hattie Carroll,117526,2002
"The Bootleg Series Vol. 6: Bob Dylan Live 1964, Concert at Philharmonic Hall",The Lonesome Death of Hattie Carroll,117526,2004
Biograph,The Lonesome Death of Hattie Carroll,117526,1985
N/A,The Lonesome Death of Hattie Carroll,117526,N/A
The Times They Are A-Changin',The Lonesome Death of Hattie Carroll,117526,1964
The Bootleg Series Vol. 8: Tell Tale Signs: Rare and Unreleased 1989-2006,The Lonesome River,1796554,2008
N/A,The Lonesome River,1796554,N/A
N/A,The Love That Faded,209355,N/A
